onset	duration	trial_type	stim_file	stim_file_index	note
201.007	0.3	28	task-sfprescaled_stimuli.npy	228	n/a
201.507	0.3	28	task-sfprescaled_stimuli.npy	229	n/a
202.007	0.3	28	task-sfprescaled_stimuli.npy	226	n/a
202.506	0.3	28	task-sfprescaled_stimuli.npy	230	n/a
203.008	0.3	28	task-sfprescaled_stimuli.npy	231	n/a
203.508	0.3	28	task-sfprescaled_stimuli.npy	225	n/a
204.008	0.3	11	task-sfprescaled_stimuli.npy	94	n/a
204.508	0.3	11	task-sfprescaled_stimuli.npy	89	n/a
205.008	0.3	11	task-sfprescaled_stimuli.npy	95	n/a
205.508	0.3	11	task-sfprescaled_stimuli.npy	90	n/a
206.008	0.3	11	task-sfprescaled_stimuli.npy	92	n/a
206.509	0.3	11	task-sfprescaled_stimuli.npy	93	n/a
207.008	0.3	11	task-sfprescaled_stimuli.npy	88	n/a
207.509	0.3	11	task-sfprescaled_stimuli.npy	91	n/a
208.010	0.3	10	task-sfprescaled_stimuli.npy	83	n/a
208.510	0.3	10	task-sfprescaled_stimuli.npy	81	n/a
209.011	0.3	10	task-sfprescaled_stimuli.npy	85	n/a
209.510	0.3	10	task-sfprescaled_stimuli.npy	84	n/a
210.011	0.3	10	task-sfprescaled_stimuli.npy	86	n/a
210.511	0.3	10	task-sfprescaled_stimuli.npy	87	n/a
211.010	0.3	10	task-sfprescaled_stimuli.npy	82	n/a
211.510	0.3	10	task-sfprescaled_stimuli.npy	80	n/a
212.011	0.3	48	task-sfprescaled_stimuli.npy	453	blank trial
212.510	0.3	48	task-sfprescaled_stimuli.npy	448	blank trial
213.011	0.3	48	task-sfprescaled_stimuli.npy	449	blank trial
213.512	0.3	48	task-sfprescaled_stimuli.npy	454	blank trial
214.012	0.3	48	task-sfprescaled_stimuli.npy	455	blank trial
214.513	0.3	48	task-sfprescaled_stimuli.npy	451	blank trial
215.012	0.3	48	task-sfprescaled_stimuli.npy	452	blank trial
215.512	0.3	48	task-sfprescaled_stimuli.npy	450	blank trial
