onset	duration	stim_filename	verbal_resp	key_resp	event_type
1079.943	0	L141	NaN	NaN	KEYRESP_BRAND
1081.894	0	L422	NaN	1	STIM_BRAND
1082.894	5	L422	NaN	1	RETENTION_BRAND
1089.282	0	L422	NaN	NaN	KEYRESP_BRAND
1090.894	0	L342	NaN	1	STIM_BRAND
1091.895	5	L342	NaN	1	RETENTION_BRAND
1097.939	0	L342	NaN	NaN	KEYRESP_BRAND
1100.395	0	L113	NaN	2	STIM_BRAND
1101.395	5	L113	NaN	2	RETENTION_BRAND
1107.156	0	L113	NaN	NaN	KEYRESP_BRAND
1109.895	0	L217	NaN	2	STIM_BRAND
1110.895	5	L217	NaN	2	RETENTION_BRAND
1116.679	0	L217	NaN	NaN	KEYRESP_BRAND
1118.895	0	L49	NaN	0	STIM_BRAND
1119.895	5	L49	NaN	0	RETENTION_BRAND
1128.911	0	L319	NaN	1	STIM_BRAND
1129.911	5	L319	NaN	1	RETENTION_BRAND
1136.147	0	L319	NaN	NaN	KEYRESP_BRAND
1138.411	0	L267	NaN	2	STIM_BRAND
1139.411	5	L267	NaN	2	RETENTION_BRAND
1145.446	0	L267	NaN	NaN	KEYRESP_BRAND
1147.412	0	L137	NaN	1	STIM_BRAND
1148.411	5	L137	NaN	1	RETENTION_BRAND
1155.411	0	L137	NaN	NaN	KEYRESP_BRAND
1156.428	0	L294	NaN	1	STIM_BRAND
1157.428	5	L294	NaN	1	RETENTION_BRAND
1162.99	0	L294	NaN	NaN	KEYRESP_BRAND
1165.428	0	L28	NaN	2	STIM_BRAND
1166.428	5	L28	NaN	2	RETENTION_BRAND
1172.322	0	L28	NaN	NaN	KEYRESP_BRAND
1174.428	0	L92	NaN	1	STIM_BRAND
1175.428	5	L92	NaN	1	RETENTION_BRAND
1181.417	0	L92	NaN	NaN	KEYRESP_BRAND
1183.928	0	L170	NaN	2	STIM_BRAND
1184.928	5	L170	NaN	2	RETENTION_BRAND
1190.586	0	L170	NaN	NaN	KEYRESP_BRAND
1193.928	0	L35	NaN	1	STIM_BRAND
1194.928	5	L35	NaN	1	RETENTION_BRAND
1201.53	0	L35	NaN	NaN	KEYRESP_BRAND
1203.929	0	L300	NaN	1	STIM_BRAND
1204.929	5	L300	NaN	1	RETENTION_BRAND
1210.943	0	L300	NaN	NaN	KEYRESP_BRAND
1213.929	0	L314	NaN	2	STIM_BRAND
1214.929	5	L314	NaN	2	RETENTION_BRAND
1221.41	0	L314	NaN	NaN	KEYRESP_BRAND
1222.443	0	L324	NaN	2	STIM_BRAND
1223.443	5	L324	NaN	2	RETENTION_BRAND
