onset	duration	trial_type	value	sample	n_simultaneous_stimuli	snr	EEG_trigger_start	EEG_trigger_end	file_clicks	file_story1	file_story2	file_story3	file_story4	file_story5
1327.1424	10	speech	1	13271424	5	-6 dB	1	2	n/a	speech/alice/alice_362_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_308_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_086_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_234_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_189_peaky_diotic_regress.hdf5
1337.212	10	speech	1	13372120	1	clean	1	2	n/a	n/a	n/a	speech/pinocchio/pinocchio_025_peaky_diotic_regress.hdf5	n/a	n/a
1347.3029	10	speech	1	13473029	3	-3 dB	1	2	n/a	speech/alice/alice_376_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_081_peaky_diotic_regress.hdf5	n/a	speech/timemachine/timemachine_345_peaky_diotic_regress.hdf5	n/a
1357.3725	10	speech	1	13573725	2	0 dB	1	2	n/a	n/a	speech/peterpan/peterpan_028_peaky_diotic_regress.hdf5	n/a	speech/timemachine/timemachine_245_peaky_diotic_regress.hdf5	n/a
1367.4421	10	speech	1	13674421	3	-3 dB	1	2	n/a	speech/alice/alice_350_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_346_peaky_diotic_regress.hdf5	n/a	n/a	speech/wizardofoz/wizardofoz_097_peaky_diotic_regress.hdf5
1377.533	10	speech	1	13775330	2	0 dB	1	2	n/a	speech/alice/alice_083_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_300_peaky_diotic_regress.hdf5	n/a	n/a	n/a
1387.6026	10	speech	1	13876026	5	-6 dB	1	2	n/a	speech/alice/alice_003_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_077_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_168_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_139_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_199_peaky_diotic_regress.hdf5
1397.6721	10	speech	1	13976721	1	clean	1	2	n/a	n/a	n/a	n/a	n/a	speech/wizardofoz/wizardofoz_264_peaky_diotic_regress.hdf5
1407.7631	10	speech	1	14077631	5	-6 dB	1	2	n/a	speech/alice/alice_012_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_285_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_106_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_329_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_095_peaky_diotic_regress.hdf5
1417.8327	10	speech	1	14178327	1	clean	1	2	n/a	speech/alice/alice_336_peaky_diotic_regress.hdf5	n/a	n/a	n/a	n/a
1427.9022	10	speech	1	14279022	2	0 dB	1	2	n/a	speech/alice/alice_374_peaky_diotic_regress.hdf5	n/a	speech/pinocchio/pinocchio_177_peaky_diotic_regress.hdf5	n/a	n/a
1437.9932	10	speech	1	14379932	3	-3 dB	1	2	n/a	speech/alice/alice_209_peaky_diotic_regress.hdf5	n/a	n/a	speech/timemachine/timemachine_229_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_068_peaky_diotic_regress.hdf5
1448.0628	10	speech	1	14480628	5	-6 dB	1	2	n/a	speech/alice/alice_039_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_209_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_082_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_291_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_255_peaky_diotic_regress.hdf5
1458.1537	10	speech	1	14581537	2	0 dB	1	2	n/a	n/a	speech/peterpan/peterpan_105_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_118_peaky_diotic_regress.hdf5	n/a	n/a
1468.2233	10	speech	1	14682233	3	-3 dB	1	2	n/a	speech/alice/alice_176_peaky_diotic_regress.hdf5	n/a	n/a	speech/timemachine/timemachine_247_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_335_peaky_diotic_regress.hdf5
1478.3142	10	speech	1	14783142	1	clean	1	2	n/a	n/a	speech/peterpan/peterpan_187_peaky_diotic_regress.hdf5	n/a	n/a	n/a
1488.3838	10	speech	1	14883838	5	-6 dB	1	2	n/a	speech/alice/alice_298_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_378_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_336_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_392_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_336_peaky_diotic_regress.hdf5
1498.4534	10	speech	1	14984534	1	clean	1	2	n/a	n/a	n/a	n/a	speech/timemachine/timemachine_103_peaky_diotic_regress.hdf5	n/a
1508.5229	10	speech	1	15085229	2	0 dB	1	2	n/a	n/a	speech/peterpan/peterpan_250_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_384_peaky_diotic_regress.hdf5	n/a	n/a
1518.6139	10	speech	1	15186139	3	-3 dB	1	2	n/a	speech/alice/alice_009_peaky_diotic_regress.hdf5	n/a	speech/pinocchio/pinocchio_134_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_158_peaky_diotic_regress.hdf5	n/a
1528.6835	10	speech	1	15286835	2	0 dB	1	2	n/a	speech/alice/alice_214_peaky_diotic_regress.hdf5	n/a	n/a	speech/timemachine/timemachine_141_peaky_diotic_regress.hdf5	n/a
1538.753	10	speech	1	15387530	1	clean	1	2	n/a	n/a	n/a	speech/pinocchio/pinocchio_348_peaky_diotic_regress.hdf5	n/a	n/a
1548.844	10	speech	1	15488440	5	-6 dB	1	2	n/a	speech/alice/alice_260_peaky_diotic_regress.hdf5	speech/peterpan/peterpan_340_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_104_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_104_peaky_diotic_regress.hdf5	speech/wizardofoz/wizardofoz_215_peaky_diotic_regress.hdf5
1558.9136	10	speech	1	15589136	3	-3 dB	1	2	n/a	n/a	speech/peterpan/peterpan_367_peaky_diotic_regress.hdf5	speech/pinocchio/pinocchio_391_peaky_diotic_regress.hdf5	speech/timemachine/timemachine_261_peaky_diotic_regress.hdf5	n/a
