onset	duration	sample	trial_type	response_time	stim_file	value
1073.7674861767	1.0000000000	536883.7431	n/a	n/a	n/a	ExpHSO_WT1
1073.7794861767	1.0000000000	536889.7431	n/a	n/a	n/a	ParHSO_WT1
1073.8552267523	1.0000000000	536927.6134	n/a	n/a	n/a	standard3
1074.6004861767	1.0000000000	537300.2431	n/a	n/a	n/a	ParTOO_WT1
1074.6624861767	1.0000000000	537331.2431	n/a	n/a	n/a	ExpTOO_WT1
1074.9694861767	1.0000000000	537484.7431	n/a	n/a	n/a	ParHSO_WT1
1075.1434861767	1.0000000000	537571.7431	n/a	n/a	n/a	ExpHSO_WT1
1075.2552371071	1.0000000000	537627.6186	n/a	n/a	n/a	standard3
1075.7704861767	1.0000000000	537885.2431	n/a	n/a	n/a	ParTOO_WT1
1076.0524861767	1.0000000000	538026.2431	n/a	n/a	n/a	ExpTOO_WT1
1076.1354861767	1.0000000000	538067.7431	n/a	n/a	n/a	ParHSO_WT1
1076.4052600485	1.0000000000	538202.63	n/a	n/a	n/a	standard3
1076.5194861767	1.0000000000	538259.7431	n/a	n/a	n/a	ExpHSO_WT1
1076.9474861767	1.0000000000	538473.7431	n/a	n/a	n/a	ParTOO_WT1
1077.1752567115	1.0000000000	538587.6284	n/a	n/a	n/a	standard3
1077.3114861767	1.0000000000	538655.7431	n/a	n/a	n/a	ParHSO_WT1
1077.4114861767	1.0000000000	538705.7431	n/a	n/a	n/a	ExpTOO_WT1
1077.8854861767	1.0000000000	538942.7431	n/a	n/a	n/a	ExpHSO_WT1
1078.0934861767	1.0000000000	539046.7431	n/a	n/a	n/a	ParTOO_WT1
1078.1952652891	1.0000000000	539097.6326	n/a	n/a	n/a	deviant3
1078.4754861767	1.0000000000	539237.7431	n/a	n/a	n/a	ParHSO_WT1
1078.8452859144	1.0000000000	539422.643	n/a	n/a	n/a	standard3
1079.2734861767	1.0000000000	539636.7431	n/a	n/a	n/a	ParTOO_WT1
1079.6394861767	1.0000000000	539819.7431	n/a	n/a	n/a	ParHSO_WT1
1079.8652901850	1.0000000000	539932.6451	n/a	n/a	n/a	deviant3
1080.2094861767	1.0000000000	540104.7431	n/a	n/a	n/a	ExpTOO_WT1
1080.4434861767	1.0000000000	540221.7431	n/a	n/a	n/a	ParTOO_WT1
1080.5152969721	1.0000000000	540257.6485	n/a	n/a	n/a	standard3
1080.6654861767	1.0000000000	540332.7431	n/a	n/a	n/a	ExpHSO_WT1
1080.8114861767	1.0000000000	540405.7431	n/a	n/a	n/a	ParHSO_WT1
1081.5574861767	1.0000000000	540778.7431	n/a	n/a	n/a	ExpTOO_WT1
1081.5834861767	1.0000000000	540791.7431	n/a	n/a	n/a	ParTOO_WT1
1081.6653116484	1.0000000000	540832.6558	n/a	n/a	n/a	standard3
1081.9574861767	1.0000000000	540978.7431	n/a	n/a	n/a	ParHSO_WT1
1081.9994861767	1.0000000000	540999.7431	n/a	n/a	n/a	ExpHSO_WT1
1082.5653175831	1.0000000000	541282.6588	n/a	n/a	n/a	standard3
1082.7574861767	1.0000000000	541378.7431	n/a	n/a	n/a	ParTOO_WT1
1082.8254861767	1.0000000000	541412.7431	n/a	n/a	n/a	ExpTOO_WT1
1083.1314861767	1.0000000000	541565.7431	n/a	n/a	n/a	ParHSO_WT1
1083.2694861767	1.0000000000	541634.7431	n/a	n/a	n/a	ExpHSO_WT1
1083.7153268613	1.0000000000	541857.6634	n/a	n/a	n/a	standard3
