onset	duration	eventnumber	sequencenumber	condition	streamnumber	stimnumber	objectstimnumber	letterstimnumber	objecttarget	lettertarget	is2back	objectstim	letterstim	response	rt	correct	time_stimon	time_stimoff
375.02	0.2	737	20	1	37	17	2	0	0	0	0	stim003_stimuli_original_animals_birds_3.png	A	0	0	0	421.298180007783	421.49820970383
375.42	0.2	738	20	1	37	18	0	2	0	0	0	stim001_stimuli_original_animals_birds_1.png	C	0	0	0	421.69821306839	421.898213019624
375.82	0.2	739	20	1	37	19	12	6	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	G	0	0	0	422.098227355658	422.298239253578
376.22	0.2	740	20	1	37	20	15	4	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	E	0	0	0	422.498238961009	422.698240862723
376.62	0.2	741	20	1	37	21	9	7	0	0	0	stim010_stimuli_original_vehicles_boats_2.png	J	0	0	0	422.898241545394	423.098228087096
377.02	0.2	742	20	1	37	22	5	11	0	0	0	stim006_stimuli_original_animals_fish_2.png	R	0	0	0	423.298500617791	423.498268949625
377.42	0.2	743	20	1	37	23	1	1	0	0	0	stim002_stimuli_original_animals_birds_2.png	B	0	0	0	423.698278653261	423.898278604494
377.82	0.2	744	20	1	37	24	13	13	1	1	0	stim014_stimuli_original_vehicles_planes_2.png	U	0	0	0	424.098267096677	424.298271680309
378.22	0.2	745	20	1	37	25	8	9	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	L	0	0	0	424.498272606783	424.698264756094
378.62	0.2	746	20	1	37	26	13	13	1	1	1	stim014_stimuli_original_vehicles_planes_2.png	U	0	0	0	424.898275191168	425.098275630007
379.02	0.2	747	20	1	37	27	2	5	0	0	0	stim003_stimuli_original_animals_birds_3.png	F	0	0	0	425.298316785134	425.498318686849
379.42	0.2	748	20	1	37	28	7	14	0	0	0	stim008_stimuli_original_animals_fish_4.png	V	NaN	425.690926321608	1	425.698323514283	425.898330048396
379.82	0.2	749	20	1	37	29	4	15	0	0	0	stim005_stimuli_original_animals_fish_1.png	Y	0	0	0	426.098309519584	426.298339703266
380.22	0.2	750	20	1	37	30	13	10	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	Q	0	0	0	426.498320637329	426.69832034476
380.62	0.2	751	20	1	37	31	3	13	0	0	0	stim004_stimuli_original_animals_birds_4.png	U	0	0	0	426.898342482687	427.098367302533
381.02	0.2	752	20	1	37	32	10	0	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	A	0	0	0	427.298339459463	427.498343311658
381.42	0.2	753	20	1	37	33	14	8	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	K	0	0	0	427.698365693388	427.898385149427
381.82	0.2	754	20	1	37	34	11	3	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	D	0	0	0	428.098361694923	428.298401874781
382.22	0.2	755	20	1	37	35	6	12	0	0	0	stim007_stimuli_original_animals_fish_3.png	T	0	0	0	428.498405483173	428.698806989327
385.203	0.2	756	21	0	2	0	0	3	0	0	0	stim001_stimuli_original_animals_birds_1.png	D	0	0	0	431.481815437844	431.681832455768
385.603	0.2	757	21	0	2	1	12	0	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	A	0	0	0	431.881829237478	432.081843329681
386.003	0.2	758	21	0	2	2	3	15	0	0	0	stim004_stimuli_original_animals_birds_4.png	Y	0	0	0	432.281850595231	432.481857616949
386.403	0.2	759	21	0	2	3	6	7	0	0	0	stim007_stimuli_original_animals_fish_3.png	J	0	0	0	432.681842939608	432.881843134644
386.803	0.2	760	21	0	2	4	1	11	0	0	0	stim002_stimuli_original_animals_birds_2.png	R	0	0	0	433.081878194498	433.281884972414
387.203	0.2	761	21	0	2	5	4	10	0	0	0	stim005_stimuli_original_animals_fish_1.png	Q	0	0	0	433.48188906844	433.681877804425
387.603	0.2	762	21	0	2	6	8	6	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	G	0	0	0	433.881897504267	434.081917935517
388.003	0.2	763	21	0	2	7	11	1	0	1	0	stim012_stimuli_original_vehicles_boats_4.png	B	0	0	0	434.281913010578	434.481894188444
388.403	0.2	764	21	0	2	8	4	9	1	0	0	stim005_stimuli_original_animals_fish_1.png	L	0	0	0	434.681927297817	434.881898235675
388.803	0.2	765	21	0	2	9	9	1	0	1	0	stim010_stimuli_original_vehicles_boats_2.png	B	0	0	0	435.081899893587	435.28193592871
389.203	0.2	766	21	0	2	10	4	2	1	0	1	stim005_stimuli_original_animals_fish_1.png	C	0	0	0	435.481937342789	435.681945583579
389.603	0.2	767	21	0	2	11	15	13	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	U	NaN	436.073691789148	1	435.881924810965	436.082341189525
390.003	0.2	768	21	0	2	12	5	14	0	0	0	stim006_stimuli_original_animals_fish_2.png	V	0	0	0	436.281969818287	436.481965137122
390.403	0.2	769	21	0	2	13	14	5	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	F	0	0	0	436.681973865518	436.881978205347
390.803	0.2	770	21	0	2	14	2	12	0	0	0	stim003_stimuli_original_animals_birds_3.png	T	0	0	0	437.081967428938	437.281991517346
391.203	0.2	771	21	0	2	15	7	8	0	0	0	stim008_stimuli_original_animals_fish_4.png	K	0	0	0	437.482020238152	437.68198264268
391.603	0.2	772	21	0	2	16	13	1	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	B	0	0	0	437.882005512045	438.082017409964
392.003	0.2	773	21	0	2	17	10	4	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	E	0	0	0	438.282002732623	438.482023895311
392.403	0.2	774	21	0	2	18	4	10	0	0	0	stim005_stimuli_original_animals_fish_1.png	Q	0	0	0	438.682037012273	438.882016239688
392.803	0.2	775	21	0	2	19	1	13	0	0	0	stim002_stimuli_original_animals_birds_2.png	U	0	0	0	439.082040815731	439.282045886968
393.203	0.2	776	21	0	2	20	8	7	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	J	0	0	0	439.482036329631	439.682058223756
393.603	0.2	777	21	0	2	21	12	2	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	C	0	0	0	439.882064514037	440.082048861455
394.004	0.2	778	21	0	2	22	5	14	0	0	0	stim006_stimuli_original_animals_fish_2.png	V	0	0	0	440.282061978418	440.482061685849
394.404	0.2	779	21	0	2	23	14	5	0	0	0	stim015_stimuli_original_vehicles_planes_3.png	F	0	0	0	440.682086261892	440.882090114086
394.804	0.2	780	21	0	2	24	13	15	0	0	0	stim014_stimuli_original_vehicles_planes_2.png	Y	0	0	0	441.082099086285	441.282101719436
395.204	0.2	781	21	0	2	25	2	4	0	1	0	stim003_stimuli_original_animals_birds_3.png	E	0	0	0	441.482097525906	441.682118444791
395.604	0.2	782	21	0	2	26	1	9	1	0	0	stim002_stimuli_original_animals_birds_2.png	L	0	0	0	441.882125222706	442.082106400572
396.004	0.2	783	21	0	2	27	9	4	0	1	0	stim010_stimuli_original_vehicles_boats_2.png	E	0	0	0	442.282116104208	442.482137510728
396.404	0.2	784	21	0	2	28	1	11	1	0	1	stim002_stimuli_original_animals_birds_2.png	R	0	0	0	442.682144776278	442.882144727511
396.804	0.2	785	21	0	2	29	6	8	0	0	0	stim007_stimuli_original_animals_fish_3.png	K	0	0	0	443.082140777784	443.282163647149
397.204	0.2	786	21	0	2	30	10	4	0	0	0	stim011_stimuli_original_vehicles_boats_3.png	E	0	0	0	443.482166767906	443.682161599136
397.604	0.2	787	21	0	2	31	11	1	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	B	0	0	0	443.882176910411	444.082190758811
398.004	0.2	788	21	0	2	32	7	6	0	0	0	stim008_stimuli_original_animals_fish_4.png	G	0	0	0	444.282188759564	444.482197244157
398.404	0.2	789	21	0	2	33	15	3	0	0	0	stim016_stimuli_original_vehicles_planes_4.png	D	0	0	0	444.682199145871	444.882250053372
398.804	0.2	790	21	0	2	34	0	12	0	0	0	stim001_stimuli_original_animals_birds_1.png	T	0	0	0	445.082217821706	445.282224112016
399.204	0.2	791	21	0	2	35	3	0	0	0	0	stim004_stimuli_original_animals_birds_4.png	A	0	0	0	445.482207484165	445.68221133636
403.704	0.2	792	22	1	23	0	4	5	0	0	0	stim005_stimuli_original_animals_fish_1.png	F	0	0	0	449.982324025303	450.182340068015
404.104	0.2	793	22	1	23	1	1	1	0	0	0	stim002_stimuli_original_animals_birds_2.png	B	0	0	0	450.38237049547	450.582372641016
404.504	0.2	794	22	1	23	2	8	15	0	0	0	stim009_stimuli_original_vehicles_boats_1.png	Y	0	0	0	450.782338946476	450.982345968194
404.904	0.2	795	22	1	23	3	2	6	0	0	0	stim003_stimuli_original_animals_birds_3.png	G	0	0	0	451.182383953797	451.382390244078
405.304	0.2	796	22	1	23	4	7	13	0	0	0	stim008_stimuli_original_animals_fish_4.png	U	0	0	0	451.582370202901	451.782371860812
405.704	0.2	797	22	1	23	5	0	3	0	0	0	stim001_stimuli_original_animals_birds_1.png	D	0	0	0	451.982381320646	452.18238224712
406.104	0.2	798	22	1	23	6	11	9	0	0	0	stim012_stimuli_original_vehicles_boats_4.png	L	0	0	0	452.382425108895	452.582398241037
406.504	0.2	799	22	1	23	7	9	10	0	1	0	stim010_stimuli_original_vehicles_boats_2.png	Q	0	0	0	452.782432569482	452.982444955036
406.904	0.2	800	22	1	23	8	5	11	0	0	0	stim006_stimuli_original_animals_fish_2.png	R	0	0	0	453.182417599543	453.382453147031
407.304	0.2	801	22	1	23	9	15	10	0	1	1	stim016_stimuli_original_vehicles_planes_4.png	Q	0	0	0	453.582458218298	453.782424036122
407.704	0.2	802	22	1	23	10	9	8	1	0	0	stim010_stimuli_original_vehicles_boats_2.png	K	NaN	454.174200474139	1	453.982432520716	454.182468555839
408.104	0.2	803	22	1	23	11	12	14	0	0	0	stim013_stimuli_original_vehicles_planes_1.png	V	0	0	0	454.382456072752	454.582483818318
