onset	duration	value	event	stim_file
95345	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
95453	0	20	cross/white	n/a
95959	0	41	white/happy/deviant/1	SHINEd_037_y_m_h_a.jpg
96055	0	20	cross/white	n/a
96561	0	42	white/happy/standard/2	SHINEd_028_y_f_h_a.jpg
96670	0	20	cross/white	n/a
97206	0	43	white/happy/standard/3	SHINEd_028_y_f_h_a.jpg
97332	0	20	cross/white	n/a
97880	0	44	white/happy/standard/4	SHINEd_028_y_f_h_a.jpg
98000	0	20	cross/white	n/a
98536	0	45	white/happy/standard/5	SHINEd_028_y_f_h_a.jpg
98657	0	20	cross/white	n/a
99193	0	46	white/happy/standard/6	SHINEd_028_y_f_h_a.jpg
99307	0	20	cross/white	n/a
99813	0	47	white/happy/standard/7	SHINEd_025_y_m_h_b.jpg
99909	0	20	cross/white	n/a
100403	0	48	white/happy/standard/8	SHINEd_022_y_f_h_b.jpg
100506	0	20	cross/white	n/a
101029	0	61	white/neutral/deviant/1	SHINEd_008_y_m_n_b.jpg
101150	0	20	cross/white	n/a
101686	0	62	white/neutral/standard/2	SHINEd_008_y_m_n_b.jpg
101806	0	20	cross/white	n/a
102342	0	63	white/neutral/standard/3	SHINEd_008_y_m_n_b.jpg
102457	0	20	cross/white	n/a
102987	0	64	white/neutral/standard/4	SHINEd_008_y_m_n_b.jpg
103101	0	20	cross/white	n/a
103607	0	65	white/neutral/standard/5	SHINEd_008_y_m_n_b.jpg
103703	0	20	cross/white	n/a
104221	0	66	white/neutral/standard/6	SHINEd_008_y_m_n_b.jpg
104348	0	20	cross/white	n/a
104884	0	67	white/neutral/standard/7	SHINEd_016_y_m_n_b.jpg
104986	0	20	cross/white	n/a
105486	0	21	white/angry/deviant/1	SHINEd_010_y_f_a_a.jpg
105588	0	20	cross/white	n/a
106088	0	22	white/angry/standard/2	SHINEd_010_y_f_a_a.jpg
106184	0	20	cross/white	n/a
106702	0	13	red/angry/standard/3	SHINEd_008_y_m_a_b.jpg
106829	0	20	cross/white	n/a
106907	0	111	button_press	n/a
107383	0	24	white/angry/standard/4	SHINEd_008_y_m_a_b.jpg
107509	0	20	cross/white	n/a
108051	0	25	white/angry/standard/5	SHINEd_010_y_f_a_a.jpg
108171	0	20	cross/white	n/a
108707	0	26	white/angry/standard/6	SHINEd_010_y_f_a_a.jpg
108828	0	20	cross/white	n/a
