onset	duration	sample	trial_type	response_time	stim_file	value
117.5780000000	n/a	n/a	Eyes Open: Every 1000 ms	n/a	n/a	S  2
130.2860000000	n/a	n/a	STATUS	n/a	n/a	S  6
130.3440000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
131.3440000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
132.3440000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
133.3440000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
134.3460000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
135.3460000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
136.3460000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
137.3460000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
138.3460000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
139.3460000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
140.3460000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
141.3480000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
142.3480000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
143.3480000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
144.3480000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
145.3480000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
146.3480000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
147.3480000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
148.3500000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
149.3500000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
150.3500000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
151.3500000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
152.3500000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
153.3500000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
154.3500000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
155.3520000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
156.3520000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
157.3520000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
158.3520000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
159.3520000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
160.3520000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
161.3520000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
162.3520000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
163.3540000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
164.3540000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
165.3540000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
166.3540000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
167.3540000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
168.3540000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
169.3540000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
170.3560000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
171.3560000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
172.3560000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
173.3560000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
174.3560000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
175.3560000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
176.3560000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
177.3580000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
178.3580000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
179.3580000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
180.3580000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
181.3580000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
182.3580000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
183.3580000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
184.3600000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
185.3600000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
186.3600000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
187.3600000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
188.3600000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  3
189.3600000000	n/a	n/a	Eyes Closed: Every 1000 ms	n/a	n/a	S  4
