onset	duration	Scoring1
11141.0000006855	30	3
11171.0000006855	30	3
11201.0000006855	30	4
11231.0000006855	30	3
11261.0000006855	30	1
11291.0000006855	30	3
11321.0000006855	30	4
11351.0000006855	30	4
11381.0000006855	30	4
11411.0000006855	30	4
11441.0000006855	30	4
11471.0000006855	30	4
11501.0000006855	30	4
11531.0000006855	30	4
11561.0000006855	30	4
11591.0000006855	30	4
11621.0000006855	30	4
11651.0000006855	30	4
11681.0000006855	30	2
11711.0000006855	30	2
11741.0000006855	30	2
11771.0000006855	30	2
11801.0000006855	30	2
11831.0000006855	30	2
11861.0000006855	30	2
11891.0000006855	30	2
11921.0000006855	30	2
11951.0000006855	30	2
11981.0000006855	30	2
12011.0000006855	30	2
12041.0000006855	30	2
12071.0000006855	30	2
12101.0000006855	30	2
12131.0000006855	30	2
12161.0000006855	30	2
12191.0000006855	30	2
12221.0000006855	30	2
12251.0000006855	30	2
12281.0000006855	30	2
12311.0000006855	30	2
12341.0000006855	30	2
12371.0000006855	30	2
12401.0000006855	30	2
12431.0000006855	30	2
12461.0000006855	30	1
12491.0000006855	30	3
12521.0000006855	30	4
12551.0000006855	30	4
12581.0000006855	30	4
12611.0000006855	30	4
12641.0000006855	30	4
12671.0000006855	30	4
12701.0000006855	30	4
12731.0000006855	30	4
12761.0000006855	30	4
12791.0000006855	30	4
12821.0000006855	30	4
12851.0000006855	30	4
12881.0000006855	30	4
12911.0000006855	30	4
12941.0000006855	30	4
12971.0000006855	30	4
13001.0000006855	30	4
13031.0000006855	30	4
13061.0000006855	30	4
13091.0000006855	30	4
13121.0000006855	30	4
13151.0000006855	30	4
13181.0000006855	30	4
13211.0000006855	30	4
13241.0000006855	30	4
13271.0000006855	30	4
13301.0000006855	30	4
13331.0000006855	30	4
13361.0000006855	30	4
13391.0000006855	30	4
13421.0000006855	30	4
13451.0000006855	30	4
13481.0000006855	30	4
13511.0000006855	30	4
13541.0000006855	30	4
13571.0000006855	30	3
13601.0000006855	30	3
13631.0000006855	30	4
13661.0000006855	30	4
13691.0000006855	30	4
13721.0000006855	30	4
13751.0000006855	30	4
13781.0000006855	30	4
13811.0000006855	30	4
13841.0000006855	30	4
13871.0000006855	30	4
13901.0000006855	30	4
13931.0000006855	30	4
13961.0000006855	30	4
13991.0000006855	30	4
14021.0000006855	30	4
14051.0000006855	30	4
14081.0000006855	30	4
14111.0000006855	30	4
14141.0000006855	30	4
14171.0000006855	30	4
14201.0000006855	30	4
14231.0000006855	30	7
14261.0000006855	30	7
14291.0000006855	30	3
14321.0000006855	30	4
14351.0000006855	30	4
14381.0000006855	30	4
14411.0000006855	30	4
14441.0000006855	30	4
14471.0000006855	30	4
14501.0000006855	30	4
14531.0000006855	30	4
14561.0000006855	30	4
14591.0000006855	30	4
14621.0000006855	30	3
