onset	duration	value	sample	trial_type	stim_file
260.369	1	1	260369	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
261.37	1	1	261370	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
262.37	1	1	262370	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
263.371	1	1	263371	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
264.371	1	1	264371	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
265.372	1	1	265372	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
266.372	1	1	266372	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
267.373	1	1	267373	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
268.373	1	1	268373	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
269.374	1	1	269374	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
270.374	1	1	270374	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
271.375	1	1	271375	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
272.375	1	1	272375	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
273.376	1	1	273376	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
274.376	1	1	274376	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
275.377	1	1	275377	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
276.377	1	1	276377	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
277.378	1	1	277378	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
278.378	1	1	278378	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
279.379	1	1	279379	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
280.379	1	1	280379	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
281.38	1	1	281380	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
282.38	1	1	282380	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
283.381	1	1	283381	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
284.381	1	1	284381	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
285.381	1	1	285381	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
286.382	1	1	286382	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
287.382	1	1	287382	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
288.383	1	1	288383	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
289.383	1	1	289383	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
290.384	1	1	290384	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
291.384	1	1	291384	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
292.385	1	1	292385	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
293.385	1	1	293385	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
294.386	1	1	294386	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
295.386	1	1	295386	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
296.387	1	1	296387	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
297.387	1	1	297387	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
298.388	1	1	298388	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
299.388	1	1	299388	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
300.389	1	1	300389	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
301.389	1	1	301389	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
302.39	1	1	302390	audiobook 1s	audiobooks/pilot/task-audiobook1_run-01_stim.wav
