onset	duration	block	trial	phase	trialtype	category	pairnum	accuracy	test_RT
186.847226	4.017356252	6	5	test	AC	Face	4	0	2159.71574799
194.866164	4.01817125199997	6	6	test	AC	Face	2	1	2015.83774799
202.885735	4.018348252	6	7	test	AC	Face	6	1	2467.69074799
210.905637	4.01819125199999	6	8	test	AC	Face	3	1	2626.48874799
216.925375	4.017456252	6	9	test	AB	Face	2	1	1715.01874799
228.944393	4.01972425199996	6	10	test	AB	Face	4	0	2299.70374799
234.965321	4.01776225199999	6	11	test	AB	Face	7	1	1821.19074799
244.984774	4.01885325199997	6	12	test	BC	Face	8	1	1417.64974799
251.005041	4.01756525199997	6	13	test	BC	Face	3	1	1385.38974799
257.023759	4.01782125200002	6	14	test	AB	Face	5	1	3252.93874799
267.042965	4.01916025199997	6	15	test	AB	Face	8	1	1422.90074799
273.06365	4.01743325199996	6	16	test	BC	Face	4	1	1519.93074799
283.082619	4.01900325199997	6	17	test	AB	Face	6	1	2183.65874799
289.103017	4.01758325199998	6	18	test	AB	Face	1	1	2785.13574799
295.122353	4.01723125199997	6	19	test	BC	Face	1	1	1559.69274799
303.140927	4.01840625199996	6	20	test	BC	Face	6	1	1733.82174799
315.160826	4.019799252	6	21	test	BC	Face	7	1	1577.09974799
325.181878	4.01924825199996	6	22	test	BC	Face	5	1	2080.01574799
331.202772	4.01735625199997	6	23	test	AB	Face	3	1	1764.12174799
337.221488	4.01759725199995	6	24	test	BC	Face	2	1	1427.41774799
12.454129	4.0006859315	7	1	study	AB	Scene	5	1	NA
18.456135	4.0010169315	7	2	study	AB	Scene	6	1	NA
30.458762	4.0029729315	7	3	study	AB	Scene	4	1	NA
36.462955	4.00111293149999	7	4	study	AB	Scene	3	0	NA
44.465635	4.00151393099999	7	5	study	AB	Scene	1	1	NA
52.468781	4.00145093099999	7	6	study	AB	Scene	7	0	NA
60.47252	4.000772931	7	7	study	AB	Scene	8	1	NA
66.474665	4.00094293100001	7	8	study	AB	Scene	2	0	NA
76.476872	4.00256893100002	7	9	study	BC	Scene	4	1	NA
82.480648	4.001125931	7	10	study	BC	Scene	8	1	NA
88.483059	4.00100493100002	7	11	study	BC	Scene	2	0	NA
94.485121	4.001272931	7	12	study	BC	Scene	3	0	NA
104.487711	4.00252193100001	7	13	study	BC	Scene	7	0	NA
110.492009	4.00051893100001	7	14	study	BC	Scene	1	1	NA
122.493777	4.003366931	7	15	study	BC	Scene	5	1	NA
128.498541	4.000934931	7	16	study	BC	Scene	6	1	NA
152.67175	4.020358931	7	1	test	AC	Scene	6	1	3229.21306852
158.693513	4.017559931	7	2	test	AC	Scene	4	1	2030.17306852
166.712783	4.01803593100002	7	3	test	AC	Scene	7	0	2436.51506852
176.732	4.01935893099999	7	4	test	AC	Scene	2	0	1716.68106852
184.752636	4.01847193100001	7	5	test	AC	Scene	5	1	3106.28906852
194.77241	4.019205931	7	6	test	AC	Scene	8	1	2984.26906852
200.792996	4.01761993099999	7	7	test	AC	Scene	1	1	2662.45606852
212.811988	4.01991493099998	7	8	test	AC	Scene	3	0	2488.21506852
218.833372	4.01753193099998	7	9	test	BC	Scene	5	1	1988.44906852
228.852574	4.01882393099999	7	10	test	BC	Scene	3	1	1350.74306852
234.873076	4.01731993100001	7	11	test	AB	Scene	6	1	3120.76306852
242.892111	4.01803693099998	7	12	test	BC	Scene	8	1	1342.14606852
248.91146	4.017648931	7	13	test	AB	Scene	4	1	1582.66006852
258.930314	4.01933593100001	7	14	test	AB	Scene	8	1	3266.40806852
270.95076	4.020178931	7	15	test	BC	Scene	6	1	2335.31206852
276.972244	4.01769693099998	7	16	test	AB	Scene	5	1	3025.71206852
284.991609	4.01808493100002	7	17	test	AB	Scene	3	0	2647.84306852
291.011269	4.01738193100004	7	18	test	BC	Scene	4	1	2624.10906852
299.030639	4.01775793099997	7	19	test	BC	Scene	2	NA	0
305.049957	4.017439931	7	20	test	AB	Scene	7	NA	0
313.068647	4.01850193100003	7	21	test	BC	Scene	7	1	2923.07606852
319.088593	4.01751493100001	7	22	test	BC	Scene	1	1	2264.12006852
331.107426	4.01997193100001	7	23	test	AB	Scene	1	1	2821.10006852
337.128828	4.01756893100002	7	24	test	AB	Scene	2	1	1584.53106852
14.530475	4.005027494	8	1	study	AB	Face	2	1	NA
26.537299	4.002828494	8	2	study	AB	Face	1	1	NA
32.54168	4.00077649400001	8	3	study	AB	Face	4	1	NA
38.54395	4.000809494	8	4	study	AB	Face	8	1	NA
44.546352	4.00069449400001	8	5	study	AB	Face	5	1	NA
52.548624	4.00150649400001	8	6	study	AB	Face	3	1	NA
60.551596	4.001617494	8	7	study	AB	Face	6	1	NA
66.554898	4.00064849400001	8	8	study	AB	Face	7	1	NA
76.557315	4.00206549400001	8	9	study	BC	Face	8	1	NA
82.560542	4.001124494	8	10	study	BC	Face	7	1	NA
90.563074	4.00167949400001	8	11	study	BC	Face	5	1	NA
96.566683	4.00040149400001	8	12	study	BC	Face	2	1	NA
108.568718	4.002990494	8	13	study	BC	Face	4	1	NA
116.573379	4.00139549400001	8	14	study	BC	Face	3	1	NA
122.576177	4.00090949400002	8	15	study	BC	Face	1	1	NA
132.578357	4.00256749400002	8	16	study	BC	Face	6	1	NA
150.769889	4.018036494	8	1	test	AC	Face	6	1	3027.24250559
156.789598	4.01732649400001	8	2	test	AC	Face	5	1	2427.22850559
168.808718	4.01949649400002	8	3	test	AC	Face	3	1	1782.46850559
174.829564	4.017623494	8	4	test	AC	Face	4	1	2684.05850559
180.848701	4.017471494	8	5	test	AC	Face	7	1	1838.68650559
190.86723	4.01946049399997	8	6	test	AC	Face	2	1	1602.10750559
198.888258	4.01817049399999	8	7	test	AC	Face	8	1	1747.48950559
204.907698	4.01773249400003	8	8	test	AC	Face	1	1	1751.18550559
214.926605	4.01935849400001	8	9	test	AB	Face	6	1	1294.14350559
220.947506	4.017416494	8	10	test	BC	Face	3	1	1424.46250559
232.96627	4.01994249399999	8	11	test	BC	Face	2	1	1790.90450559
238.987501	4.01771249400004	8	12	test	BC	Face	7	1	1457.26950559
249.006458	4.01925349399998	8	13	test	BC	Face	8	1	1108.92750559
255.027508	4.01720549400002	8	14	test	AB	Face	2	1	2124.11150559
267.046397	4.01960949400003	8	15	test	BC	Face	6	1	1999.69950559
275.067171	4.01858749400004	8	16	test	BC	Face	5	1	1378.98950559
281.087192	4.01752849400003	8	17	test	AB	Face	8	1	1501.22250559
295.106034	4.020775494	8	18	test	AB	Face	5	1	2135.57650559
301.128161	4.01761449399998	8	19	test	BC	Face	4	1	1512.44050559
309.146851	4.01869349400001	8	20	test	BC	Face	1	1	1623.25950559
319.167171	4.01887649400003	8	21	test	AB	Face	3	1	1787.89850559
325.187394	4.01765349400003	8	22	test	AB	Face	7	1	1905.66350559
331.206289	4.01771649399999	8	23	test	AB	Face	4	1	1508.31650559
337.225373	4.01762949399999	8	24	test	AB	Face	1	1	1367.31350559
