onset	duration	weight	memtype	resolution	memcond	phase	trial	run	eye
191.271048700002	0.448	1	3	1	3	1	7	16	1
191.739048700002	0.026	1	3	1	3	1	7	16	1
192.049048700002	0.168	1	3	1	3	1	7	16	1
192.263048700002	0.548	1	3	1	3	1	7	16	1
201.490344200021	5	1	3	1	3	2	7	16	0
201.798344200021	0.042	1	3	1	3	2	7	16	1
201.868344200021	0.024	1	3	1	3	2	7	16	1
201.910344200021	0.062	1	3	1	3	2	7	16	1
201.990344200021	0.024	1	3	1	3	2	7	16	1
202.098344200021	0.07	1	3	1	3	2	7	16	1
202.266344200021	0.136	1	3	1	3	2	7	16	1
202.430344200021	0.116	1	3	1	3	2	7	16	1
202.580344200021	0.04	1	3	1	3	2	7	16	1
202.662344200021	0.096	1	3	1	3	2	7	16	1
202.864344200021	0.05	1	3	1	3	2	7	16	1
203.024344200021	0.056	1	3	1	3	2	7	16	1
203.096344200021	0.022	1	3	1	3	2	7	16	1
203.138344200021	0.028	1	3	1	3	2	7	16	1
203.186344200021	0.072	1	3	1	3	2	7	16	1
203.276344200021	0.35	1	3	1	3	2	7	16	1
203.642344200021	0.028	1	3	1	3	2	7	16	1
203.704344200021	0.168	1	3	1	3	2	7	16	1
204.286344200021	0.02	1	3	1	3	2	7	16	1
204.324344200021	0.098	1	3	1	3	2	7	16	1
204.438344200021	0.228	1	3	1	3	2	7	16	1
204.712344200021	0.214	1	3	1	3	2	7	16	1
204.934344200021	0.224	1	3	1	3	2	7	16	1
205.198344200021	0.09	1	3	1	3	2	7	16	1
205.306344200021	0.09	1	3	1	3	2	7	16	1
205.442344200021	0.026	1	3	1	3	2	7	16	1
205.528344200021	0.124	1	3	1	3	2	7	16	1
205.692344200021	0.286	1	3	1	3	2	7	16	1
206.014344200021	0.07	1	3	1	3	2	7	16	1
208.990023899998	3	1	3	1	3	3	7	16	0
215.2397184	0.156	1	4	2	2	1	8	16	1
215.2397184	5	1	4	2	2	1	8	16	0
215.4357184	0.254	1	4	2	2	1	8	16	1
215.7297184	0.026	1	4	2	2	1	8	16	1
215.7637184	0.228	1	4	2	2	1	8	16	1
216.0177184	0.354	1	4	2	2	1	8	16	1
216.4217184	0.176	1	4	2	2	1	8	16	1
216.6217184	0.172	1	4	2	2	1	8	16	1
216.8237184	0.214	1	4	2	2	1	8	16	1
217.0737184	0.358	1	4	2	2	1	8	16	1
217.4737184	0.178	1	4	2	2	1	8	16	1
217.6757184	0.07	1	4	2	2	1	8	16	1
217.7577184	0.154	1	4	2	2	1	8	16	1
217.9477184	0.296	1	4	2	2	1	8	16	1
218.2537184	0.318	1	4	2	2	1	8	16	1
218.5957184	0.112	1	4	2	2	1	8	16	1
218.7637184	0.022	1	4	2	2	1	8	16	1
218.8637184	0.04	1	4	2	2	1	8	16	1
218.9477184	0.034	1	4	2	2	1	8	16	1
