onset	duration	task_event	rt_in_ms	task_novelty	logic_rule	sensory_rule	motor_rule	performance	task_id	motor_response	stimulus1_color	stimulus1_orientation	stimulus1_pitch	stimulus1_continuity	stimulus2_color	stimulus2_orientation	stimulus2_pitch	stimulus2_continuity
375.23	1.57	delay	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
376.8	2.355	trial	3062.0	Novel	NOT*BOTH	HI*PITCH	RIGHT*INDEX*	Correct	20.0	right_middle_finger	blue	horizontal	high	alarm	red	vertical	high	alarm
379.15500000000003	1.57	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
380.725	2.355	trial	2358.0	Novel	NOT*BOTH	HI*PITCH	RIGHT*INDEX*	Correct	20.0	right_index_finger	red	vertical	low	constant	red	horizontal	high	alarm
383.08000000000004	1.57	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
384.65000000000003	2.355	trial	0.0	Novel	NOT*BOTH	HI*PITCH	RIGHT*INDEX*	No Response	20.0	no_response	red	vertical	high	constant	red	vertical	high	alarm
387.00500000000005	12.56	delay	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
399.56500000000005	3.9250000000000003	encoding	n/a	Novel	**BOTH**	**RED***	*LEFT*INDEX*	n/a	10.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
403.49000000000007	3.925	delay	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
407.4150000000001	2.355	trial	2391.0	Novel	**BOTH**	**RED***	*LEFT*INDEX*	Correct	10.0	left_index_finger	red	vertical	high	constant	red	horizontal	high	constant
409.7700000000001	1.57	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
411.3400000000001	2.355	trial	1726.0	Novel	**BOTH**	**RED***	*LEFT*INDEX*	Correct	10.0	left_index_finger	red	horizontal	high	alarm	red	vertical	low	constant
413.6950000000001	1.57	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
415.2650000000001	2.355	trial	1689.0	Novel	**BOTH**	**RED***	*LEFT*INDEX*	Correct	10.0	left_index_finger	red	vertical	high	alarm	red	horizontal	high	constant
417.6200000000001	10.205	delay	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
427.8250000000001	3.9250000000000003	encoding	n/a	Prac	**BOTH**	VERTICAL	LEFT*MIDDLE*	n/a	13.0	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
431.7500000000001	1.57	delay	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
433.3200000000001	2.355	trial	1263.0	Prac	**BOTH**	VERTICAL	LEFT*MIDDLE*	Correct	13.0	left_index_finger	blue	horizontal	high	constant	red	horizontal	high	alarm
435.6750000000001	1.57	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
437.2450000000001	2.355	trial	1003.0	Prac	**BOTH**	VERTICAL	LEFT*MIDDLE*	Correct	13.0	left_index_finger	blue	horizontal	high	alarm	red	horizontal	low	alarm
439.60000000000014	1.57	ITI	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
441.17000000000013	2.355	trial	1710.0	Prac	**BOTH**	VERTICAL	LEFT*MIDDLE*	Correct	13.0	left_middle_finger	blue	vertical	low	alarm	blue	vertical	low	alarm
443.52500000000015	12.56	delay	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
