onset	duration	 sample	trial_type	response_time	value
199.2610	0	228	TRIGGER	3.4695	37
200.1442	0	229	TRIGGER	4.5795	37
200.1942	2.6509	229	DOT_FLIP	N/A	0
200.5277	0.1498	229	KEYPRESS	0.3448	1
201.0109	0	230	TRIGGER	5.6686	37
201.8770	0	231	TRIGGER	0.4737	38
202.2937	2.0965	231	DOT_FLIP	N/A	1
202.5937	0.1334	231	KEYPRESS	0.3143	1
202.7603	0	232	TRIGGER	1.5838	38
203.1270	0.8399	232	DOT_FLIP	N/A	0
203.6439	0	233	TRIGGER	2.6941	38
203.6675	0.1264	233	KEYPRESS	0.5482	1
204.5104	0	234	TRIGGER	3.7829	38
205.2270	2.0939	234	DOT_FLIP	N/A	1
205.3770	0	235	TRIGGER	4.8720	38
205.6150	0.1453	235	KEYPRESS	0.4018	1
206.2604	0	236	TRIGGER	5.9820	38
207.1263	0	237	TRIGGER	0.7871	39
207.2430	2.0137	237	DOT_FLIP	N/A	0
207.6096	0.1668	237	KEYPRESS	0.3827	1
208.0097	0	238	TRIGGER	1.8972	39
208.8764	0	239	TRIGGER	2.9863	39
209.7595	0	240	TRIGGER	4.0961	39
210.0598	2.8196	240	DOT_FLIP	N/A	1
210.3977	0.1454	240	KEYPRESS	0.3512	1
210.6264	0	241	TRIGGER	5.1853	39
210.9597	0.8995	241	DOT_FLIP	N/A	0
211.5092	0	242	TRIGGER	0.0115	40
211.6082	0.1509	242	KEYPRESS	0.6622	1
212.3757	0	243	TRIGGER	1.1005	40
212.9924	2.0318	243	DOT_FLIP	N/A	1
213.2424	0	244	TRIGGER	2.1896	40
213.3591	0.1185	244	KEYPRESS	0.3814	1
214.1258	0	245	TRIGGER	3.2997	40
214.9258	1.9479	245	DOT_FLIP	N/A	0
214.9925	0	246	TRIGGER	4.3888	40
215.2925	0.1499	246	KEYPRESS	0.3668	1
215.8757	0	247	TRIGGER	5.4987	40
216.7253	1.7944	247	DOT_FLIP	N/A	1
216.7420	0	248	TRIGGER	0.3041	41
217.1253	0.1501	248	KEYPRESS	0.4052	1
217.6253	0	249	TRIGGER	1.4141	41
217.9087	1.1853	249	DOT_FLIP	N/A	0
218.2920	0.1501	249	KEYPRESS	0.3865	1
218.4920	0	250	TRIGGER	2.5032	41
219.3755	0	251	TRIGGER	3.6134	41
219.7586	1.8496	251	DOT_FLIP	N/A	1
220.0753	0.1500	251	KEYPRESS	0.3202	1
220.2424	0	252	TRIGGER	4.7028	41
221.1087	0	253	TRIGGER	5.7914	41
221.9914	0	254	TRIGGER	0.6175	42
222.1080	2.3393	254	DOT_FLIP	N/A	0
222.5247	0.1834	254	KEYPRESS	0.4304	1
222.8572	0	255	TRIGGER	1.7055	42
223.7414	0	256	TRIGGER	2.8166	42
223.9414	1.8424	256	DOT_FLIP	N/A	1
224.2747	0.1667	256	KEYPRESS	0.3381	1
224.6081	0	257	TRIGGER	3.9057	42
225.4915	0	258	TRIGGER	5.0158	42
225.8915	1.9416	258	DOT_FLIP	N/A	0
226.3582	0	259	TRIGGER	6.1049	42
226.2081	0.1834	259	KEYPRESS	0.3298	1
227.1798	1.2894	259	DOT_FLIP	N/A	1
227.2409	0	260	TRIGGER	0.9311	43
227.5076	0.1666	260	KEYPRESS	0.3400	1
228.1077	0	261	TRIGGER	2.0203	43
228.9744	0	262	TRIGGER	3.1094	43
229.5409	2.3583	262	DOT_FLIP	N/A	0
229.8576	0	263	TRIGGER	4.2192	43
229.8909	0.1334	263	KEYPRESS	0.3649	1
230.7243	0	264	TRIGGER	5.3084	43
231.6069	0	265	TRIGGER	0.1343	44
231.9904	2.4504	265	DOT_FLIP	N/A	1
232.3070	0.1334	265	KEYPRESS	0.3307	1
232.4736	0	266	TRIGGER	1.2235	44
233.0570	1.0747	266	DOT_FLIP	N/A	0
233.3570	0	267	TRIGGER	2.3336	44
233.4570	0.1501	267	KEYPRESS	0.4060	1
234.2237	0	268	TRIGGER	3.4227	44
235.1073	0	269	TRIGGER	4.5330	44
235.7238	2.6667	269	DOT_FLIP	N/A	1
235.9738	0	270	TRIGGER	5.6219	44
236.0404	0.1500	270	KEYPRESS	0.3227	1
236.8230	1.0915	270	DOT_FLIP	N/A	0
236.8416	0	271	TRIGGER	0.4293	45
237.1398	0.1667	271	KEYPRESS	0.3305	1
237.7230	0	272	TRIGGER	1.5368	45
237.9565	1.1313	272	DOT_FLIP	N/A	1
238.2731	0.1666	272	KEYPRESS	0.3325	1
238.5897	0	273	TRIGGER	2.6259	45
239.4729	0	274	TRIGGER	3.7359	45
240.3436	0	275	TRIGGER	4.8301	45
240.6619	2.7171	275	DOT_FLIP	N/A	0
240.9899	0.1665	275	KEYPRESS	0.3322	1
