onset	duration	trial_type	response	response_time	stim	sub
36.05	6	1_acc	3	4.173663	c2.jpg	156
47.41	6	1_acc	1	2.442863	c10.jpg	156
56.2	6	1_acc	1	4.934698	c18.jpg	156
66.1	6	5_acc	4	3.363269	c3.jpg	156
74.16	6	5_acc	3	1.603636	c15.jpg	156
82.96	6	5_acc	2	3.911837	c5.jpg	156
92.49	6	1_acc	2	4.675016	c21.jpg	156
102.01	6	1_acc	2	5.894821	c11.jpg	156
112.62	6	5_acc	1	2.177321	c7.jpg	156
123.59	6	1_inacc	1	3.817246	c6.jpg	156
132.74	6	5_acc	4	1.817425	c24.jpg	156
144.09	6	1_miss	NA	NA	c19.jpg	156
156.15	6	1_acc	3	3.446561	c13.jpg	156
167.85	6	5_acc	1	1.904265	c14.jpg	156
179.55	6	1_acc	1	3.622996	c8.jpg	156
189.81	6	1_acc	2	2.147592	c1.jpg	156
200.78	6	5_acc	1	3.333142	c23.jpg	156
210.66	6	1_acc	4	3.167775	c17.jpg	156
218.73	6	5_acc	1	1.646735	c20.jpg	156
227.88	6	5_acc	4	2.59356	c22.jpg	156
236.3	6	1_acc	4	2.142904	c16.jpg	156
3	6	5_acc	2	2.308437	c14.jpg	158
13.7	6	1_inacc	1	2.811246	c11.jpg	158
23.6	6	5_acc	2	2.458724	c23.jpg	158
34.9	6	5_acc	2	2.799332	c9.jpg	158
46.7	6	1_acc	1	2.047289	c10.jpg	158
56.9	6	1_inacc	2	3.277986	c1.jpg	158
69	6	1_inacc	4	4.407645	c19.jpg	158
77.8	6	5_inacc	3	5.822359	c7.jpg	158
89.9	6	1_inacc	3	4.251977	c18.jpg	158
100.9	6	1_acc	4	3.144077	c2.jpg	158
109.3	6	5_inacc	3	3.905736	c24.jpg	158
118.1	6	1_acc	4	1.77813	c17.jpg	158
127.3	6	5_acc	4	4.146765	c5.jpg	158
138.3	6	5_inacc	1	2.530187	c12.jpg	158
146.7	6	1_acc	2	2.487208	c13.jpg	158
158.4	6	5_acc	3	2.128804	c20.jpg	158
168.7	6	5_acc	1	2.557981	c22.jpg	158
178.2	6	5_inacc	2	2.090417	c4.jpg	158
187.4	6	5_acc	1	2.417797	c15.jpg	158
197.2	6	1_acc	3	1.980753	c21.jpg	158
208.6	6	1_acc	1	1.620064	c16.jpg	158
219.2	6	1_acc	4	3.835553	c6.jpg	158
227.3	6	5_acc	4	3.082628	c3.jpg	158
235.3	6	1_inacc	1	3.031836	c8.jpg	158
3.07	6	5_inacc	4	2.946296	c7.jpg	161
11.53	6	5_acc	4	3.431329	c4.jpg	161
21.79	6	5_inacc	1	2.42134	c14.jpg	161
31.69	6	1_acc	2	2.686288	c18.jpg	161
43.39	6	5_inacc	4	4.544441	c12.jpg	161
55.09	6	5_inacc	4	2.496355	c15.jpg	161
