onset	duration	trial_type	value	sample	token	EEG_trigger_start	EEG_trigger_end	stim_file
2673.4875	10	female_high	8	26734875	105	1	2	female_high/female_high_105_regress.hdf5
2683.5571	10	female_mid	7	26835571	54	1	2	female_mid/female_mid_054_regress.hdf5
2693.6267	10	female_low	6	26936267	14	1	2	female_low/female_low_014_regress.hdf5
2703.6963	10	male_high	5	27036963	20	1	2	male_high/male_high_020_regress.hdf5
2713.7659	10	female_mid	7	27137659	3	1	2	female_mid/female_mid_003_regress.hdf5
2723.8355	10	male_high	5	27238355	33	1	2	male_high/male_high_033_regress.hdf5
2733.9051	10	male_mid	4	27339051	83	1	2	male_mid/male_mid_083_regress.hdf5
2743.9747	10	female_low	6	27439747	114	1	2	female_low/female_low_114_regress.hdf5
2754.0442	10	male_low	3	27540442	6	1	2	male_low/male_low_006_regress.hdf5
2764.1138	10	female_high	8	27641138	66	1	2	female_high/female_high_066_regress.hdf5
2774.1834	10	female_high	8	27741834	72	1	2	female_high/female_high_072_regress.hdf5
2784.253	10	female_low	6	27842530	109	1	2	female_low/female_low_109_regress.hdf5
2794.3439	10	male_high	5	27943439	73	1	2	male_high/male_high_073_regress.hdf5
2804.4135	10	male_mid	4	28044135	106	1	2	male_mid/male_mid_106_regress.hdf5
2814.4831	10	female_mid	7	28144831	52	1	2	female_mid/female_mid_052_regress.hdf5
2824.5527	10	male_low	3	28245527	35	1	2	male_low/male_low_035_regress.hdf5
2834.6223	10	male_mid	4	28346223	119	1	2	male_mid/male_mid_119_regress.hdf5
2844.6919	10	male_high	5	28446919	65	1	2	male_high/male_high_065_regress.hdf5
2854.7615	10	female_mid	7	28547615	117	1	2	female_mid/female_mid_117_regress.hdf5
2864.831	10	male_low	3	28648310	88	1	2	male_low/male_low_088_regress.hdf5
2874.922	10	female_high	8	28749220	28	1	2	female_high/female_high_028_regress.hdf5
2884.9916	10	female_low	6	28849916	4	1	2	female_low/female_low_004_regress.hdf5
2895.0611	10	female_low	6	28950611	58	1	2	female_low/female_low_058_regress.hdf5
2905.1307	10	male_mid	4	29051307	95	1	2	male_mid/male_mid_095_regress.hdf5
2915.2003	10	male_high	5	29152003	49	1	2	male_high/male_high_049_regress.hdf5
2925.2699	10	female_high	8	29252699	14	1	2	female_high/female_high_014_regress.hdf5
2935.3395	10	female_mid	7	29353395	29	1	2	female_mid/female_mid_029_regress.hdf5
2945.4304	10	male_low	3	29454304	85	1	2	male_low/male_low_085_regress.hdf5
2955.5	10	male_low	3	29555000	114	1	2	male_low/male_low_114_regress.hdf5
2965.5483	10	male_mid	4	29655483	74	1	2	male_mid/male_mid_074_regress.hdf5
2975.6179	10	female_high	8	29756179	53	1	2	female_high/female_high_053_regress.hdf5
2985.6874	10	female_mid	7	29856874	88	1	2	female_mid/female_mid_088_regress.hdf5
2995.7784	10	male_high	5	29957784	29	1	2	male_high/male_high_029_regress.hdf5
3005.8479	10	female_low	6	30058479	27	1	2	female_low/female_low_027_regress.hdf5
3015.9175	10	male_mid	4	30159175	76	1	2	male_mid/male_mid_076_regress.hdf5
3025.9871	10	male_low	3	30259871	1	1	2	male_low/male_low_001_regress.hdf5
3036.078	10	female_low	6	30360780	35	1	2	female_low/female_low_035_regress.hdf5
3046.1476	10	female_mid	7	30461476	90	1	2	female_mid/female_mid_090_regress.hdf5
3056.2172	10	male_high	5	30562172	1	1	2	male_high/male_high_001_regress.hdf5
3066.2868	10	female_high	8	30662868	84	1	2	female_high/female_high_084_regress.hdf5
3076.3564	10	female_low	6	30763564	65	1	2	female_low/female_low_065_regress.hdf5
3086.426	10	female_mid	7	30864260	85	1	2	female_mid/female_mid_085_regress.hdf5
3096.4956	10	male_mid	4	30964956	58	1	2	male_mid/male_mid_058_regress.hdf5
3106.5652	10	male_low	3	31065652	39	1	2	male_low/male_low_039_regress.hdf5
3116.6347	10	female_high	8	31166347	38	1	2	female_high/female_high_038_regress.hdf5
3126.7257	10	male_high	5	31267257	22	1	2	male_high/male_high_022_regress.hdf5
3136.7953	10	male_low	3	31367953	37	1	2	male_low/male_low_037_regress.hdf5
3146.8648	10	female_high	8	31468648	108	1	2	female_high/female_high_108_regress.hdf5
3156.9558	10	female_low	6	31569558	68	1	2	female_low/female_low_068_regress.hdf5
3167.0254	10	male_mid	4	31670254	90	1	2	male_mid/male_mid_090_regress.hdf5
