old_id	new_id	key	reason
cit_001330	cit_001328	url:https://www.brainvoyager.com/products/brainvoyageredu.html	normalised url variant
cit_001332	cit_001331	doi:10.1523/jneurosci.2618-19.2020	normalised doi variant
cit_001337	cit_001336	doi:10.1073/pnas.1918335117	normalised doi variant
cit_001340	cit_001339	doi:10.1101/496877v1	normalised doi variant
cit_001342	cit_001341	url:https://spisakt.github.io/RPN-signature	normalised url variant
cit_001353	cit_001348	url:https://www.narps.info	normalised url variant
cit_001351	cit_001349	doi:10.1101/843193v1	normalised doi variant
cit_001360	cit_001354	doi:10.1101/2020.10.14.339606v1	normalised doi variant
cit_001362	cit_001354	doi:10.1101/2020.10.14.339606v1	normalised doi variant
cit_001364	cit_001354	doi:10.1101/2020.10.14.339606v1	normalised doi variant
cit_001363	cit_001355	url:https://www.mrc-cbu.cam.ac.uk/people/Ethan.Knights	normalised url variant
cit_001361	cit_001356	url:https://www.stephanierossit.com/contact	normalised url variant
cit_001368	cit_001366	doi:10.1038/s41593-018-0113-5	normalised doi variant
cit_001369	cit_001367	doi:10.1101/2020.05.24.107177	normalised doi variant
cit_001373	cit_001372	url:https://www.pexels.com	normalised url variant
cit_001377	cit_001376	doi:10.1038/s41598-019-56858-1	normalised doi variant
cit_001390	cit_001389	url:https://www.jneurosci.org/content/jneuro/39/49/9716.full.pdf	normalised url variant
cit_001393	cit_001392	doi:10.1101/525386v2	normalised doi variant
cit_001396	cit_001395	doi:10.1101/2020.03.11.986786v1	normalised doi variant
cit_001402	cit_001401	doi:10.1162/jocn_a_01308	normalised doi variant
cit_001404	cit_001403	url:https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4713423	normalised url variant
cit_001406	cit_001405	url:https://www.ncbi.nlm.nih.gov/pubmed/23578759	normalised url variant
cit_001415	cit_001411	url:https://www.python.org	normalised url variant
cit_001419	cit_001418	url:https://www.ncbi.nlm.nih.gov/pmc/articles/PMC4467091	normalised url variant
cit_001421	cit_001420	url:https://www.pnas.org/content/113/17/4853.short	normalised url variant
cit_001423	cit_001422	url:https://www.nitrc.org/projects/mricron	normalised url variant
cit_001428	cit_001426	url:https://www.mir.wustl.edu/research/research-support-facilities/center-for-clinical-imaging-research-ccir	normalised url variant
cit_001434	cit_001433	url:https://www.pubmedcentral.nih.gov/articlerender.fcgi?artid=3623569%7D%2C	normalised url variant
cit_001437	cit_001435	url:https://www.ncbi.nlm.nih.gov/pubmed/23075313	normalised url variant
cit_001441	cit_001439	url:https://www.weizmann.ac.il/neurobiology/worg/materials.html	normalised url variant
cit_001448	cit_001447	url:https://www.spinalcordmri.org/2017/04/28/workshop.html	normalised url variant
cit_001450	cit_001449	url:https://www.neuro.polymtl.ca/people/julien_cohenadad	normalised url variant
cit_001453	cit_001452	url:https://www.ncbi.nlm.nih.gov/pubmed/XXXXXXXXX	normalised url variant
cit_001459	cit_001457	doi:10.1101/2020.02.17.953547v2	normalised doi variant
cit_001464	cit_001462	doi:10.1101/2020.01.28.923953v1	normalised doi variant
cit_001466	cit_001465	url:https://www.sciencedirect.com/science/article/pii/S1053811919308833	normalised url variant
cit_001473	cit_001472	doi:10.1038/s41598-019-53144-y	normalised doi variant
cit_001474	cit_001472	doi:10.1038/s41598-019-53144-y	normalised doi variant
cit_001480	cit_001478	doi:10.1038/s41597-019-0303-3	normalised doi variant
cit_001481	cit_001479	doi:10.1038/sdata201693	normalised doi variant
cit_001485	cit_001484	url:https://www.biorxiv.org/content/biorxiv/early/2018/08/09/186817.full.pdf	normalised url variant
cit_001487	cit_001486	url:https://www.ncbi.nlm.nih.gov/pubmed/25175535	normalised url variant
cit_001489	cit_001488	url:https://www.ncbi.nlm.nih.gov/pmc/articles/PMC2699183	normalised url variant
