onset	duration	subject	task	trialHit	rt	acc
462.865880386	0	1	face	noHit	None	1
464.833132232	0	1	face	noHit	1.49003363005	0
466.799027604	0	1	face	noHit	None	1
468.766200034	0	1	face	noHit	None	1
470.733315785	0	1	face	noHit	None	1
472.699372871	0	1	face	noHit	None	1
474.665498485	0	1	face	noHit	None	1
476.632647539	0	1	face	noHit	None	1
478.59967811	0	1	face	Hit	1.49002722555	1
480.565782909	0	1	face	noHit	None	1
482.53289962	0	1	face	noHit	None	1
484.498958307	0	1	face	noHit	None	1
486.466074378	0	1	face	Hit	None	0
488.432148756	0	1	face	noHit	None	1
490.399281158	0	1	face	noHit	None	1
492.365365784	0	1	face	noHit	None	1
494.331499724	0	1	face	noHit	None	1
496.299566223	0	1	house	noHit	None	1
498.265699522	0	1	house	noHit	None	1
500.231738355	0	1	house	noHit	None	1
502.198841297	0	1	house	noHit	None	1
504.16496467	0	1	house	noHit	None	1
506.132006768	0	1	house	Hit	1.4900570065	1
508.098150635	0	1	house	Hit	1.49004355704	1
510.064242626	0	1	house	noHit	None	1
512.031359977	0	1	house	noHit	None	1
513.998469003	0	1	house	noHit	None	1
515.965559136	0	1	house	noHit	None	1
517.931679626	0	1	house	noHit	None	1
519.898810748	0	1	house	noHit	None	1
521.864888008	0	1	house	noHit	None	1
523.832962192	0	1	house	noHit	None	1
525.799034969	0	1	house	noHit	None	1
527.765135926	0	1	house	noHit	None	1
529.731278192	0	1	house	noHit	None	1
531.697363458	0	1	face	noHit	None	1
533.66441068	0	1	face	noHit	None	1
535.631553009	0	1	face	noHit	None	1
537.597634752	0	1	face	noHit	None	1
539.563869243	0	1	face	noHit	None	1
541.530820078	0	1	face	noHit	None	1
543.496934484	0	1	face	noHit	None	1
545.463027755	0	1	face	noHit	None	1
547.430180332	0	1	face	noHit	None	1
549.397232037	0	1	face	noHit	None	1
551.363357011	0	1	face	noHit	1.49003330983	0
553.330479166	0	1	face	noHit	None	1
555.296535291	0	1	face	noHit	None	1
557.263646558	0	1	face	noHit	None	1
559.229791386	0	1	face	noHit	None	1
561.196836687	0	1	face	noHit	1.49003010758	0
563.162952374	0	1	face	Hit	1.49004003456	1
565.130035462	0	1	face	Hit	1.49006052897	1
