onset	duration	value	response	rt	good	Acu	estim	trial
742.1259	1	11	1	412.1	1	1	1 0 0	2
744.8697	1	11	1	374	1	1	1 0 0	3
747.863	1	11	1	364.2	1	1	1 0 0	4
751.2885	1	11	2	419.7	1	1	0 2 0	5
753.8827	1	11	2	431.9	1	1	0 2 0	6
757.4247	1	11	1	390.1	1	1	1 0 0	7
760.368	1	11	1	357	1	1	1 0 0	8
763.8269	1	12	2	596.7	1	0	3 1 3	1
766.8201	1	12	3	691.3	1	1	3 2 2	2
768.7823	1	12	2	654.5	1	1	2 3 3	3
772.2578	1	12	1	383	1	1	3 3 1	4
775.3009	1	11	3	421.8	1	1	0 0 3	1
778.3107	1	11	3	404.3	1	1	0 0 3	2
781.9691	1	11	1	370.5	1	1	1 0 0	3
783.9314	1	11	3	457.5	1	1	0 0 3	4
786.0765	1	11	3	75.6	1	0	1 0 0	5
789.419	1	11	2	467.5	1	1	0 2 0	6
791.8302	1	11	1	397.2	1	1	1 0 0	7
794.5906	1	12	1	779.2	1	1	3 3 1	1
798.2324	1	12	2	551.9	1	1	2 3 3	2
800.8764	1	12	1	423.1	1	0	2 3 3	3
804.5181	1	12	1	520	1	0	1 3 1	4
807.4615	1	11	1	423.9	1	1	1 0 0	1
810.4048	1	11	3	420.3	1	1	0 0 3	2
812.7163	1	11	1	389.6	1	1	1 0 0	3
814.6286	1	11	1	445.7	1	1	1 0 0	4
817.7549	1	11	1	403	1	1	1 0 0	5
821.4299	1	12	2	877.3	1	1	1 1 2	1
824.34	1	12	1	557.1	1	1	2 1 2	2
826.2191	1	12	2	617.5	1	1	2 1 1	3
829.3952	1	12	3	762.5	1	1	3 2 2	4
831.2743	1	12	3	454.3	1	1	3 2 2	5
834.1179	1	12	3	434.1	1	1	3 2 2	6
837.9425	1	11	3	526.3	1	1	0 0 3	1
841.3847	1	11	2	351	1	1	0 2 0	2
844.2782	1	11	3	389	1	1	0 0 3	3
847.022	1	11	3	358.6	1	1	0 0 3	4
850.3312	1	11	3	371.3	1	1	0 0 3	5
853.1581	1	11	3	381	1	1	0 0 3	6
856.4507	1	11	3	420.2	1	1	0 0 3	7
859.527	1	11	3	389.8	1	1	0 0 3	8
862.4039	1	12	2	656.7	1	1	2 1 1	1
865.0479	1	12	1	608.9	1	1	2 1 2	2
868.5067	1	12	2	826.5	1	0	1 3 1	3
